Main group;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
23;36,7;51,06;288,5;69,9;742,1;649,1;826,8;;552,1;242,8;176,5;235,6;20,93;;;293,7;;18,98;74,04;504,2;157,1;0;0;30,1;192,1;;;116,6;;64,38;;86,4;;;363,7;;111,2;;;;255,8;;;35,68;;;;565,9;;
24;78,45;160,9;4,7;134,7;856,3;709,6;1201;10000;372;;129,5;351,9;113,9;261,1;91,13;316,9;898,2;368,5;492;631;11,8;17,97;51,9;0;75,97;490,9;534,7;132,2;;546,7;;247,8;146,6;;337,7;369,5;187,1;215,2;498,6;;256,5;;233,1;;;;423,1;63,95;;108,5
25;106,8;70,32;97,27;402,5;325,7;612,8;274,5;622,3;518,4;;171,1;383,3;25,15;108,5;102,2;2951;334,9;;363,5;993,4;129,7;8,309;0,2266;248,4;0;132,7;2213;;;;;;593,4;;;;;;;;71,18;;;209,7;;;434,1;;;
26;32,69;1,996;10,38;97,05;261,6;252,6;417,9;;142,6;;129,3;;94,49;;;;;;0,283;;113;9,639;;34,68;132,9;0;533,2;320,2;;;139,8;304,3;10,17;27,7;;;10,76;;223,1;;248,4;;;;218,9;;;;;4,565
27;5541;;1824;127,8;561,6;;360,7;;101,5;;;;;;;;134,9;2475;;;1971;;;514,6;123,1;85,12;0;;;;;2990;124;;;;;;;;;;;;;;;;;
28;52,65;16,62;21,5;40,68;609,8;914,2;1081;1421;303,7;;243,8;;112,4;;;;;;335,7;;73,09;;26,06;60,71;;277,8;;0;;;;292,7;;;;;47,37;;;;469,8;;;;;;;;;
29;7,481;;28,41;19,56;461,6;448,6;;;160,6;;;201,5;63,71;106,7;;;;;161;;27,94;;;;;;;;0;;;;;;31,66;;;;78,92;;;;;1004;;;;18,27;;
30;25,31;82,64;157,3;128,8;521,6;;23,48;;317,5;;146,3;;87,31;;;;;;;570,6;;;48,48;133,2;;;;;;0;;;;;;;;;;;43,37;;;;;;;;;
31;139,9;;221,4;150,6;267,6;240,8;137,4;838,4;135,4;;152;;9,207;;;;192,3;;169,6;;;;;;;481,3;;;;;0;;;;417,2;;;;302,2;;347,8;;;262;;;353,5;;;
32;128;;58,68;26,41;501,3;431,3;;;138;245,9;21,92;;476,6;;;;;;;616,6;;40,82;21,76;48,49;;64,28;2448;27,45;;;;0;;;;;;;;;68,55;;;;;;;;;
33;31,52;174,6;154,2;1112;524,9;494,7;;;142,6;;24,37;;736,4;;;;;42,71;136,9;5256;262,3;174,5;;77,55;185,3;125,3;4288;;;;;;0;;32,9;;;;;;195,1;;;;;;;;;
34;72,88;41,38;;;68,95;;;;443,6;;;;;;;;;;329,1;;;;;;;174,4;;;;;535,8;;;0;;;2073;;119,8;;;;;;;;;;;
35;50,49;64,07;2,504;143,2;25,87;695;240;;110,4;;41,57;;93,51;;;257,2;;;;180,2;;215;343,6;58,43;;;;;85,7;;;;111,2;;0;;;;97,71;;153,7;;;;;;;;;
36;165,9;573;123,6;397,4;389,3;218,8;386,6;;;354;175,5;;;;;;;;42,31;;;;;85,15;;;;;;;;;;;;0;208,8;;8,804;;423,4;;;;;;;;;
37;47,41;124,2;395,8;419,1;738,9;528;;;40,9;183,8;611,3;134,5;217,9;;;;;281,6;335,2;898,2;383,2;301,9;149,8;134,2;;379,4;;167,9;;;;;;631,5;;837,2;0;;255;;730,8;;;26,35;;;;2429;;
38;5,132;131,7;237,2;157,3;649,7;645,9;;;;;;;167,3;;198,8;116,5;;159,8;;;;;;124,6;;;;;;;;;;;;;;0;;117,2;;;;;;;;;;
39;31,95;249;133,9;240,2;64,16;172,2;287,1;;97,04;13,89;82,12;116,7;158,2;49,7;;185,2;343,7;;150,6;97,77;;;;186,7;;223,6;;;71;;191,7;;;6,699;136,6;5,15;137,7;;0;5,579;72,31;;;;;;;;;
40;147,3;62,4;140,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185,6;55,8;0;;;;;111,8;;;;;
41;529;1397;317,6;615,8;88,63;171;284,4;167,3;123,4;577,5;234,9;145,4;247,8;;284,5;;22,1;;61,6;1179;182,2;305,4;193;335,7;956,1;124,7;;885,5;;64,28;264,3;288,1;627,7;;29,34;53,91;198;;28,65;;0;;;;;;122,4;;;
42;34,36;;787,9;;1913;;180,2;;992,4;;;;448,5;961,8;1464;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2166;;;;;;;
43;110,2;;234,4;;;;;;;;;;;125,2;1604;;;;;;;;;70,81;;;;;;;;;;;;;;;;;;745,3;0;;;;;;;
44;13,89;16,11;23,88;6,214;796,9;;832,2;234,7;;;;;;;;;;;;;;;196,2;;161,5;;;;274,1;;262;;;;;;66,31;;;;;;;0;;;;;;
45;30,74;;167,9;;794,4;762,7;;;;;;;;;;;;;;;;;;;;844;;;;;;;;;;;;;;32,17;;;;;0;;;;;
46;27,97;9,755;;;394,8;;509,3;;;;;;;;;;;;;70,25;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;
47;11,92;132,4;86,88;19,45;517,5;;205,7;;156,4;;3,444;;;;;;;;119,2;;;194,7;;3,163;7,082;;;;6,971;;515,8;;;;;;148,9;;;;101,2;;;;;;;0;;
48;39,93;543,6;;;;420;;;;;;;;;;;;;;;;;363,1;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;
49;23,61;161,1;142,9;274,1;61,2;89,24;384,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
50;8,479;;23,93;2,845;682,5;597,8;;810,5;278,8;;;;;;;;;221,4;;;;;;79,34;;176,3;;;;;;;;;;;;;;;;;;;;;;;;0
